,Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
128,Pakistan,274289,5842,241026,27421,1176,20,3592,Eastern Mediterranean
129,Panama,61442,1322,35086,25034,1146,28,955,Americas
130,Papua New Guinea,62,0,11,51,0,0,0,Western Pacific
131,Paraguay,4548,43,2905,1600,104,2,111,Americas
132,Peru,389717,18418,272547,98752,13756,575,4697,Americas
133,Philippines,82040,1945,26446,53649,1592,13,336,Western Pacific
134,Poland,43402,1676,32856,8870,337,5,103,Europe
135,Portugal,50299,1719,35375,13205,135,2,158,Europe
136,Qatar,109597,165,106328,3104,292,0,304,Eastern Mediterranean
137,Romania,45902,2206,25794,17902,1104,19,151,Europe
138,Russia,816680,13334,602249,201097,5607,85,3077,Europe
139,Rwanda,1879,5,975,899,58,0,57,Africa
140,Saint Kitts and Nevis,17,0,15,2,0,0,0,Americas
141,Saint Lucia,24,0,22,2,0,0,0,Americas
142,Saint Vincent and the Grenadines,52,0,39,13,0,0,0,Americas
143,San Marino,699,42,657,0,0,0,0,Europe
144,Sao Tome and Principe,865,14,734,117,2,0,38,Africa
145,Saudi Arabia,268934,2760,222936,43238,1993,27,2613,Eastern Mediterranean
146,Senegal,9764,194,6477,3093,83,3,68,Africa
147,Serbia,24141,543,0,23598,411,9,0,Europe
148,Seychelles,114,0,39,75,0,0,0,Africa
149,Sierra Leone,1783,66,1317,400,0,0,4,Africa
150,Singapore,50838,27,45692,5119,469,0,171,Western Pacific
151,Slovakia,2181,28,1616,537,2,0,39,Europe
152,Slovenia,2087,116,1733,238,5,0,55,Europe
153,Somalia,3196,93,1543,1560,18,0,22,Eastern Mediterranean
154,South Africa,452529,7067,274925,170537,7096,298,9848,Africa
155,South Korea,14203,300,13007,896,28,1,102,Western Pacific
156,South Sudan,2305,46,1175,1084,43,1,0,Africa
157,Spain,272421,28432,150376,93613,0,0,0,Europe
158,Sri Lanka,2805,11,2121,673,23,0,15,South-East Asia
159,Sudan,11424,720,5939,4765,39,3,49,Eastern Mediterranean
160,Suriname,1483,24,925,534,44,1,35,Americas
161,Sweden,79395,5700,0,73695,398,3,0,Europe
162,Switzerland,34477,1978,30900,1599,65,1,200,Europe
163,Syria,674,40,0,634,24,2,0,Eastern Mediterranean
164,Taiwan*,462,7,440,15,4,0,0,Western Pacific
165,Tajikistan,7235,60,6028,1147,43,1,58,Europe
166,Tanzania,509,21,183,305,0,0,0,Africa
167,Thailand,3297,58,3111,128,6,0,2,South-East Asia
168,Timor-Leste,24,0,0,24,0,0,0,South-East Asia
169,Togo,874,18,607,249,6,0,8,Africa
170,Trinidad and Tobago,148,8,128,12,1,0,0,Americas
171,Tunisia,1455,50,1157,248,3,0,15,Eastern Mediterranean
172,Turkey,227019,5630,210469,10920,919,17,982,Europe
173,US,4290259,148011,1325804,2816444,56336,1076,27941,Americas
174,Uganda,1128,2,986,140,13,0,4,Africa
175,Ukraine,67096,1636,37202,28258,835,11,317,Europe
176,United Arab Emirates,59177,345,52510,6322,264,1,328,Eastern Mediterranean
177,United Kingdom,301708,45844,1437,254427,688,7,3,Europe
178,Uruguay,1202,35,951,216,10,1,3,Americas
179,Uzbekistan,21209,121,11674,9414,678,5,569,Europe
180,Venezuela,15988,146,9959,5883,525,4,213,Americas
181,Vietnam,431,0,365,66,11,0,0,Western Pacific
182,West Bank and Gaza,10621,78,3752,6791,152,2,0,Eastern Mediterranean
183,Western Sahara,10,1,8,1,0,0,0,Africa
184,Yemen,1691,483,833,375,10,4,36,Eastern Mediterranean
185,Zambia,4552,140,2815,1597,71,1,465,Africa
186,Zimbabwe,2704,36,542,2126,192,2,24,Africa
